name,type,image,abv,volume_ml,container,price,aroma,flavor,aftertaste,price_score,link
爽 飫肥杉,芋焼酎,obisugi_20_100.jpg,20,100,瓶,223,5,5,5,1,https://shochu-dojo.jp/?pid=158061833
爽 飫肥杉,芋焼酎,obisugi_20_200.jpg,20,200,PETカップ,251,5,5,5,1,https://shochu-dojo.jp/?pid=158061834
爽 飫肥杉,芋焼酎,obisugi_20_360.jpg,20,360,PETカップ,462,5,5,5,1,https://shochu-dojo.jp/?pid=158061835
爽 飫肥杉,芋焼酎,obisugi_20_900.jpg,20,900,スリムパック,952,5,5,5,1,https://shochu-dojo.jp/?pid=158061836
爽 飫肥杉,芋焼酎,obisugi_20_900.jpg,20,900,瓶,963,5,5,5,1,https://shochu-dojo.jp/?pid=158061837
爽 飫肥杉,芋焼酎,obisugi_20_1800.jpg,20,1800,瓶,1788,5,5,5,2,https://shochu-dojo.jp/?pid=158061839
爽 飫肥杉,芋焼酎,obisugi_20_1800.jpg,20,1800,紙パック,1766,5,5,5,2,https://shochu-dojo.jp/?pid=158061840
爽 飫肥杉,芋焼酎,obisugi_20_2700.jpg,20,2700,大容量PET,2453,5,5,5,3,https://shochu-dojo.jp/?pid=158061841
爽 飫肥杉,芋焼酎,obisugi_20_4000.jpg,20,4000,大容量PET,3520,5,5,5,4,https://shochu-dojo.jp/?pid=158061842
爽 飫肥杉,芋焼酎,obisugi_25_100.jpg,25,100,瓶,255,5,5,5,1,https://shochu-dojo.jp/?pid=158061845
爽 飫肥杉,芋焼酎,obisugi_25_720.jpg,25,720,瓶,1235,5,5,5,2,https://shochu-dojo.jp/?pid=158061847
爽 飫肥杉,芋焼酎,obisugi_25_900.jpg,25,900,瓶,1098,5,5,5,2,https://shochu-dojo.jp/?pid=158061848
爽 飫肥杉,芋焼酎,obisugi_25_1800.jpg,25,1800,瓶,2050,5,5,5,3,https://shochu-dojo.jp/?pid=158061849
爽 飫肥杉,芋焼酎,obisugi_25_1800.jpg,25,1800,紙パック,2029,5,5,5,3,https://shochu-dojo.jp/?pid=158061850
黒飫肥杉,芋焼酎,kurosugi_20_900.jpg,20,900,瓶,963,3,2,2,1,https://shochu-dojo.jp/?pid=158061863
黒飫肥杉,芋焼酎,kurosugi_20_1800.jpg,20,1800,紙パック,1766,3,2,2,2,https://shochu-dojo.jp/?pid=158061864
黒飫肥杉,芋焼酎,kurosugi_25_100.jpg,25,100,瓶,255,3,2,2,1,https://shochu-dojo.jp/?pid=158061865
黒飫肥杉,芋焼酎,kurosugi_25_900.jpg,25,900,瓶,1098,3,2,2,2,https://shochu-dojo.jp/?pid=158061866
黒飫肥杉,芋焼酎,kurosugi_25_1800.jpg,25,1800,瓶,2050,3,2,2,3,https://shochu-dojo.jp/?pid=158061868
黒飫肥杉,芋焼酎,kurosugi_25_1800.jpg,25,1800,紙パック,2029,3,2,2,3,https://shochu-dojo.jp/?pid=158061869
赤飫肥杉,芋焼酎,akasugi_20_900.jpg,20,900,瓶,963,3,4,4,1,https://shochu-dojo.jp/?pid=158061852
赤飫肥杉,芋焼酎,akasugi_20_1800.jpg,20,1800,紙パック,1766,3,4,4,2,https://shochu-dojo.jp/?pid=158061854
赤飫肥杉,芋焼酎,akasugi_20_4000.jpg,20,4000,大容量PET,3520,3,4,4,4,https://shochu-dojo.jp/?pid=158061855
赤飫肥杉,芋焼酎,akasugi_25_100.jpg,25,100,瓶,255,3,4,4,1,https://shochu-dojo.jp/?pid=158061858
赤飫肥杉,芋焼酎,akasugi_25_900.jpg,25,900,瓶,1098,3,4,4,2,https://shochu-dojo.jp/?pid=158061859
赤飫肥杉,芋焼酎,akasugi_25_1800.jpg,25,1800,瓶,2050,3,4,4,3,https://shochu-dojo.jp/?pid=158061860
赤飫肥杉,芋焼酎,akasugi_25_900.jpg,25,900,スリムパック,980,3,4,4,1,https://shochu-dojo.jp/?pid=173344405
赤飫肥杉,芋焼酎,akasugi_25_1800.jpg,25,1800,紙パック,2029,3,4,4,3,https://shochu-dojo.jp/?pid=158061861
飫肥杉 原酒 特選ブレンド,芋焼酎,obisugi_genshu_tokusen_720.jpg,37,720,瓶,2750,2,3,2,3,https://shochu-dojo.jp/?pid=182738611
飫肥杉 原酒,芋焼酎,obisugi_genshu_720.jpg,38,720,瓶,2326,2,3,2,3,https://shochu-dojo.jp/?pid=158061927
飫肥杉 ライオンズボトル,芋焼酎,obisugi_lions_720.jpg,20,720,瓶,1320,5,5,5,2,https://shochu-dojo.jp/?pid=158061890
櫻泉,芋焼酎,sakuraizumi_100.jpg,25,100,瓶,255,4,3,3,1,https://shochu-dojo.jp/?pid=158061871
櫻泉,芋焼酎,sakuraizumi_720.jpg,25,720,瓶,1097,4,3,3,2,https://shochu-dojo.jp/?pid=158061872
櫻泉,芋焼酎,sakuraizumi_900.jpg,25,900,瓶,1098,4,3,3,2,https://shochu-dojo.jp/?pid=158061873
櫻泉,芋焼酎,sakuraizumi_1800.jpg,25,1800,瓶,2050,4,3,3,3,https://shochu-dojo.jp/?pid=158061874
大金持 芋 金箔入,芋焼酎,ooganemoti_imo_gold_900.jpg,20,900,瓶,1298,3,4,3,2,https://shochu-dojo.jp/?pid=158061875
大金持 芋 金箔入,芋焼酎,ooganemoti_imo_gold_1800.jpg,20,1800,瓶,2647,3,4,3,3,https://shochu-dojo.jp/?pid=158061876
芋の達人,芋焼酎,imonotatujin_100.jpg,25,100,PETカップ,125,2,1,2,1,https://shochu-dojo.jp/?pid=158061881
芋の達人,芋焼酎,imonotatujin_900.jpg,25,900,瓶,1116,2,1,2,2,取り扱いなし
芋の達人,芋焼酎,imonotatujin_1800.jpg,25,1800,紙パック,2005,2,1,2,3,取り扱いなし
赤魔性,芋焼酎,akamasyou_720.jpg,25,720,瓶,1478,4,2,2,2,https://shochu-dojo.jp/?pid=158061878
赤魔性,芋焼酎,akamasyou_1800.jpg,25,1800,瓶,2393,4,2,2,3,商品ページがない
無邪鬼,芋焼酎,mujaki_720.jpg,25,720,瓶,1489,3,4,3,2,https://shochu-dojo.jp/?pid=159198046
無邪鬼,芋焼酎,mujaki_1800.jpg,25,1800,瓶,2527,3,4,3,3,https://shochu-dojo.jp/?pid=159198618
